Field Name,Crop,Crop Area,Activity Date,Activity start time,Activity end time,Operation,Related Plan No,Product,Harvest Interval,Rate,Water Volume,Treated Area,Wind Speed,Wind Direction,Temp,Humidity,Operator,Machine,Reason
L,Ryegrass - Hybrid,22.37,03/07/2019 - 04/07/2019,12:00,15:50,Fertilising #358,358,Lime Springfield,,"1,750.000 kgs/ha",0.00 lts/ha,22.37 ha,_,NW,14 °C,64%,Belmont Farm,K85,
L,Ryegrass - Hybrid,22.37,28/08/2019,0:00,0:00,Fertilising #420,420,DAP,,250.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,Belmont Farm,K85,
L,Ryegrass - Hybrid,22.37,28/08/2019,0:00,0:00,Fertilising #420,420,SulfurGain Pure 90%,,65.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,Belmont Farm,K85,
L,Ryegrass - Hybrid,22.37,30/09/2019,17:42,17:42,Fertilising #462,462,Urea,,50.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,Belmont Farm,K85,
L,Ryegrass - Hybrid,22.37,22/10/2019,18:10,18:10,Fertilising #492,492,Urea,,150.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,Belmont Farm,RB 25,
L,Ryegrass - Hybrid,22.37,2/11/2019,11:40,11:40,Fertilising,,Urea,,200.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,,,
L,Ryegrass - Hybrid,22.37,20/11/2019,10:07,10:07,Fertilising,,Urea,,80.000 kgs/ha,0.00 lts/ha,22.37 ha,4 kph,NW,14 °C,65%,,,
L,Ryegrass - Hybrid,22.37,14/02/2020,9:00,10:00,Fertilising,,Urea,,80.000 kgs/ha,0.00 lts/ha,22.37 ha,5 kph,E,16 °C,95%,,,
L,Ryegrass - Hybrid,22.37,10/03/2020,0:00,0:00,Fertilising,,Urea,,150.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,,,
L,Ryegrass - Hybrid,22.37,25/05/2020,0:00,0:00,Fertilising,,Urea,,60.000 kgs/ha,0.00 lts/ha,22.37 ha,_,_,_,_,,,
MC,Ryegrass - Perennial,17.85,24/04/2019,11:10,12:00,Fertilising #315,315,Urea,,125.000 kgs/ha,0.00 lts/ha,17.85 ha,6 kph,NW,16 °C,60%,Belmont Farm,RB 25,
MC,Ryegrass - Perennial,17.85,30/07/2019,0:00,0:00,Fertilising #359,359,Dolomite (Dol),,"2,950.000 kgs/ha",0.00 lts/ha,8.90 ha,_,_,_,_,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,30/07/2019,0:00,0:00,Fertilising #360,360,Lime Springfield,,"1,200.000 kgs/ha",0.00 lts/ha,8.90 ha,_,_,_,_,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,8/08/2019,15:10,16:10,Fertilising #406,406,DAP,,200.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,8/08/2019,15:10,16:10,Fertilising #406,406,SulfurGain Pure 90%,,90.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,26/08/2019,16:48,16:48,Fertilising #422,422,Urea,,70.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,14/09/2019,12:11,12:11,Fertilising,,Urea,,40.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,,,
MC,Ryegrass - Perennial,17.85,5/10/2019,9:14,10:00,Fertilising #471,471,Urea,,150.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,22/10/2019,14:02,14:02,Fertilising #483,483,Urea,,200.000 kgs/ha,0.00 lts/ha,17.85 ha,5 kph,NE,15 °C,50%,Belmont Farm,K85,
MC,Ryegrass - Perennial,17.85,6/11/2019,9:16,9:16,Fertilising,,Urea,,100.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,,,
MC,Ryegrass - Perennial,17.85,1/02/2020,8:30,9:08,Fertilising,,Urea,,120.000 kgs/ha,0.00 lts/ha,17.85 ha,5 kph,SE,19 °C,58%,,,
MC,Ryegrass - Perennial,17.85,26/02/2020,16:00,16:23,Fertilising,,Urea,,80.000 kgs/ha,0.00 lts/ha,17.85 ha,10 kph,NE,21 °C,70%,,,
MC,Ryegrass - Perennial,17.85,8/05/2020,0:00,0:00,Fertilising #684,684,Urea,,80.000 kgs/ha,0.00 lts/ha,17.85 ha,_,_,_,_,Belmont Farm,K85,
MH,Corn Salad,10.5,25/02/2020,6:30,7:10,Fertilising #628,628,DAP,,150.000 kgs/ha,0.00 lts/ha,10.50 ha,11 kph,E,18 °C,67%,Belmont Farm,K85,
MH,Corn Salad,10.5,25/02/2020,6:30,7:10,Fertilising #628,628,SulfurGain Pure 90%,,50.000 kgs/ha,0.00 lts/ha,10.50 ha,11 kph,E,18 °C,67%,Belmont Farm,K85,
MH,Corn Salad,10.5,25/02/2020,6:30,7:10,Fertilising #628,628,Boron 15%,,20.000 kgs/ha,0.00 lts/ha,10.50 ha,11 kph,E,18 °C,67%,Belmont Farm,K85,
MH,Corn Salad,10.5,25/02/2020,6:30,7:10,Fertilising #628,628,Zinic 23%,,30.000 kgs/ha,0.00 lts/ha,10.50 ha,11 kph,E,18 °C,67%,Belmont Farm,K85,
MH,Corn Salad,10.5,25/02/2020,6:30,7:10,Fertilising #628,628,Managnese 32%,,50.000 kgs/ha,0.00 lts/ha,10.50 ha,11 kph,E,18 °C,67%,Belmont Farm,K85,
NW,Wheat,18.84,28/03/2019,0:00,0:00,Fertilising #319,319,Lime Springfield,,"1,000.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/03/2019,0:00,0:00,Fertilising #319,319,Dolomite (Dol),,"2,200.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/04/2019,0:00,0:00,Fertilising #320,320,Lime Springfield,,"1,000.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/04/2019,0:00,0:00,Fertilising #320,320,Dolomite (Dol),,"2,800.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/04/2019,0:00,0:00,Fertilising #321,321,Lime Springfield,,"1,450.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/04/2019,0:00,0:00,Fertilising #321,321,Dolomite (Dol),,"2,250.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/04/2019,0:00,0:00,Fertilising #322,322,Lime Springfield,,500.000 kgs/ha,0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,28/04/2019,0:00,0:00,Fertilising #322,322,Dolomite (Dol),,"1,500.000 kgs/ha",0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,23/08/2019,0:00,0:00,Fertilising #418,418,Sulfate of Ammonia-Black,,300.000 kgs/ha,0.00 lts/ha,18.84 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,26/09/2019,14:08,14:08,Fertilising #449,449,DAP,,300.000 kgs/ha,0.00 lts/ha,18.84 ha,_,_,_,_,Belmont Farm,K85,
NW,Wheat,18.84,3/10/2019,13:00,13:00,Fertilising #468,468,Urea,,200.000 kgs/ha,0.00 lts/ha,18.84 ha,_,_,_,_,Belmont Farm,RB 25,
NW,Wheat,18.84,17/10/2019,14:22,14:22,Fertilising #484,484,Urea,,150.000 kgs/ha,0.00 lts/ha,18.84 ha,_,_,_,_,Belmont Farm,RB 25,
NW,Wheat,18.84,1/11/2019,11:57,11:57,Fertilising #506,506,Urea,,150.000 kgs/ha,0.00 lts/ha,18.84 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,24/04/2019,10:30,11:00,Fertilising #316,316,Urea,,125.000 kgs/ha,0.00 lts/ha,21.90 ha,6 kph,NW,16 °C,60%,Belmont Farm,RB 25,
P,Ryegrass - Perennial,21.9,30/07/2019,0:00,0:00,Fertilising #361,361,Dolomite (Dol),,"2,100.000 kgs/ha",0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,8/08/2019,16:15,17:15,Fertilising #405,405,DAP,,200.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,8/08/2019,16:15,17:15,Fertilising #405,405,SulfurGain Pure 90%,,150.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,9/08/2019,15:30,17:02,Fertilising #362,362,Lime Springfield,,400.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,26/08/2019,16:47,16:47,Fertilising,,Urea,,70.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,,,
P,Ryegrass - Perennial,21.9,30/09/2019,17:43,17:43,Fertilising #461,461,Urea,,50.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,1/11/2019,11:57,11:57,Fertilising #507,507,Urea,,150.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,RB 25,
P,Ryegrass - Perennial,21.9,11/11/2019,10:12,10:12,Fertilising #524,524,Urea,,200.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,RB 25,
P,Ryegrass - Perennial,21.9,14/12/2019,10:30,11:30,Fertilising #566,566,Urea,,100.000 kgs/ha,0.00 lts/ha,21.90 ha,1 kph,NW,17 °C,42%,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,7/03/2020,9:45,10:15,Fertilising #638,638,Urea,,100.000 kgs/ha,0.00 lts/ha,21.90 ha,13 kph,NW,15 °C,47%,Belmont Farm,RB 25,
P,Ryegrass - Perennial,21.9,4/04/2020,0:00,0:00,Fertilising,,Urea,,80.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,8/05/2020,0:00,0:00,Fertilising #684,684,Urea,,80.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,Belmont Farm,K85,
P,Ryegrass - Perennial,21.9,25/05/2020,0:00,0:00,Fertilising,,Urea,,70.000 kgs/ha,0.00 lts/ha,21.90 ha,_,_,_,_,,,
PW,Barley,18.5,2/08/2019,0:00,0:00,Fertilising #391,391,Lime Springfield,,450.000 kgs/ha,0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,2/08/2019,0:00,0:00,Fertilising #392,392,Lime Springfield,,550.000 kgs/ha,0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,2/08/2019,0:00,0:00,Fertilising #393,393,Muriate of Potash,,360.000 kgs/ha,0.00 lts/ha,9.40 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,2/08/2019,0:00,0:00,Fertilising #394,394,Muriate of Potash,,200.000 kgs/ha,0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,6/08/2019,10:38,10:38,Fertilising #389,389,Dolomite (Dol),,"2,700.000 kgs/ha",0.00 lts/ha,14.10 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,6/08/2019,10:38,10:38,Fertilising #390,390,Dolomite (Dol),,650.000 kgs/ha,0.00 lts/ha,4.70 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,8/08/2019,12:00,12:45,Fertilising #402,402,DAP,,150.000 kgs/ha,0.00 lts/ha,16.00 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,8/08/2019,16:00,17:00,Fertilising #401,401,DAP,,250.000 kgs/ha,0.00 lts/ha,2.50 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,14/08/2019,13:30,13:39,Fertilising #412,412,Kieserite,,450.000 kgs/ha,0.00 lts/ha,2.50 ha,9 kph,SW,9 °C,56%,Belmont Farm,K85,
PW,Barley,18.5,3/10/2019,14:00,14:00,Fertilising #465,465,Sulfate of Ammonia-Black,,300.000 kgs/ha,0.00 lts/ha,18.50 ha,_,_,_,_,Belmont Farm,K85,
PW,Barley,18.5,3/10/2019,14:00,14:00,Fertilising #466,466,Urea,,60.000 kgs/ha,0.00 lts/ha,18.50 ha,_,_,_,_,Belmont Farm,K85,
