Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
,31/12/2019,8.9,Urea,90,41,-,-,-,-,-
,6/02/2020,8.9,Urea,32,15,-,-,-,-,-
,27/03/2020,9.4,Urea,89,41,-,-,-,-,-
,17/08/2020,9.7,Ammo 31,114,35,-,-,16,-,-
,Area weighted total,,,,137,-,-,15,-,-
24,5/11/2019,4.6,Urea,92,42,-,-,-,-,-
,22/11/2019,4.4,Urea,30,14,-,-,-,-,-
,28/01/2020,4.4,Urea,32,15,-,-,-,-,-
,27/03/2020,4.7,Urea,95,43,-,-,-,-,-
,9/04/2020,4.5,Urea,91,42,-,-,-,-,-
,23/06/2020,4.7,Urea,100,46,-,-,-,-,-
,Area weighted total,,,,196,-,-,-,-,-
25,24/10/2019,6,Urea,98,45,-,-,-,-,-
,25/11/2019,6,DAP,30,5,6,-,-,-,-
,30/12/2019,5.9,Urea,30,14,-,-,-,-,-
,6/02/2020,5.7,Urea,31,14,-,-,-,-,-
,27/03/2020,6.1,Urea,97,45,-,-,-,-,-
,9/04/2020,6.1,Urea,93,43,-,-,-,-,-
,Area weighted total,,,,161,6,-,-,-,-
26,11/10/2019,8.7,Urea,97,45,-,-,-,-,-
,22/11/2019,8.6,Urea,32,15,-,-,-,-,-
,10/12/2019,8.3,DAP,29,5,6,-,-,-,-
,5/03/2020,8.8,N - PROTECT,99,46,-,-,-,-,-
,9/04/2020,8.7,Urea,92,42,-,-,-,-,-
,Area weighted total,,,,149,5,-,-,-,-
26A,20/08/2020,4.6,Ammo 31,136,41,-,-,19,-,-
,Area weighted total,,,,38,-,-,17,-,-
26B,No data for period selected,,,,,,,,,
27,24/10/2019,9.8,Urea,98,45,-,-,-,-,-
,25/11/2019,9.9,DAP,32,6,6,-,-,-,-
,30/12/2019,10,Urea,32,15,-,-,-,-,-
,28/01/2020,9.8,Urea,33,15,-,-,-,-,-
,27/03/2020,9.9,Urea,93,43,-,-,-,-,-
,9/04/2020,9.8,Urea,93,43,-,-,-,-,-
,Area weighted total,,,,162,6,-,-,-,-
28,16/10/2019,9.5,Urea,98,45,-,-,-,-,-
,22/11/2019,10,Urea,29,13,-,-,-,-,-
,30/12/2019,10.2,Urea,31,14,-,-,-,-,-
,31/12/2019,10.1,Urea,97,44,-,-,-,-,-
,5/03/2020,9.8,N - PROTECT,94,43,-,-,-,-,-
,9/04/2020,9.3,Urea,94,43,-,-,-,-,-
,20/08/2020,10.4,Ammo 31,120,37,-,-,17,-,-
,Area weighted total,,,,222,-,-,16,-,-
29,28/09/2019,3,AmSulph Granular,168,34,-,-,40,-,-
,16/10/2019,3.3,Urea,175,81,-,-,-,-,-
,4/11/2019,3.1,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,23/06/2020,3.5,Urea,105,48,-,-,-,-,-
,14/08/2020,3.4,Ammo 31,123,37,-,-,17,-,-
,Area weighted total,,,,197,-,-,49,-,-
2A,31/12/2019,0.1,Urea,80,37,-,-,-,-,-
,Area weighted total,,,,2,-,-,-,-,-
2G,22/11/2019,6.8,Urea,30,14,-,-,-,-,-
,10/12/2019,6.7,DAP,28,5,6,-,-,-,-
,15/01/2020,6.5,Urea,32,15,-,-,-,-,-
,27/03/2020,6.8,Urea,93,43,-,-,-,-,-
,23/06/2020,6.7,Urea,81,37,-,-,-,-,-
,Area weighted total,,,,109,5,-,-,-,-
3,2/12/2019,4.6,Urea,128,59,-,-,-,-,-
,9/01/2020,4.5,Urea,148,68,-,-,-,-,-
,16/08/2020,4.5,Scottys Fert Mix,621 kg/ha,36,41,138,126,-,-
,Area weighted total,,,,160,40,134,123,-,-
,2/10/2019,9.6,Ammo 31,134,41,-,-,18,-,-
,4/11/2019,9.8,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,26/11/2019,9.7,DAP,28,5,6,-,-,-,-
,23/06/2020,6.6,Urea,75,34,-,-,-,-,-
